name,latitude,longitude
Aditya Birla Memorial Hospital,18.62862611280823, 73.77460007021921,
Deenanath Mangeshkar Hospital,18.50510331312774, 73.83325501254708,
Jehangir Hospital,18.534233180747286, 73.87517737670153,
Ruby Hall Clinic,18.595081982067228, 73.7341281116563,
Sahyadri Hospitals,18.514617833323538, 73.8388234445444,
Manipal Hospital,18.568426930728286, 73.7680744776343
